,ranking,a_0_rank_descending,a_0_values,a_0_una,a_1_rank_descending,a_1_values,a_1_una,a_2_rank_descending,a_2_values,a_2_una,a_3_rank_descending,a_3_values,a_3_una,a_5_rank_descending,a_5_values,a_5_una,a_10_rank_descending,a_10_values,a_10_una
0,1,"{0, 1, 3, 4, 5, 11}",9.610506344437834,True,"{0, 1, 3, 4, 5, 11}",10.610506344437834,True,"{0, 1, 3, 4, 5, 11}",11.610506344437834,True,"{0, 1, 3, 4, 5, 11}",12.610506344437836,True,"{0, 1, 3, 4, 5, 11}",14.610506344437834,True,"{0, 1, 3, 4, 5, 11}",19.610506344437834,True
1,2,"{0, 1, 2, 3, 4, 5, 6, 11}",9.529509298708643,False,"{0, 1, 2, 3, 4, 5, 6, 11}",10.529509298708643,False,"{0, 1, 2, 3, 4, 5, 6, 11}",11.529509298708643,False,"{0, 1, 2, 3, 4, 5, 6, 11}",12.529509298708644,True,"{0, 1, 2, 3, 4, 5, 6, 11}",14.529509298708643,True,"{0, 1, 2, 3, 4, 5, 6, 11}",19.529509298708646,True
2,3,"{0, 1, 3, 4, 5, 6, 11}",9.476111403667355,False,"{0, 1, 3, 4, 5, 6, 11}",10.476111403667355,False,"{0, 1, 3, 4, 5, 6, 11}",11.476111403667355,False,"{0, 1, 3, 4, 5, 6, 11}",12.476111403667355,True,"{0, 1, 3, 4, 5, 6, 11}",14.476111403667355,True,"{0, 1, 3, 4, 5, 6, 11}",19.476111403667353,True
3,4,"{0, 1, 2, 4, 5, 6, 11}",9.183481868131867,True,"{0, 1, 2, 4, 5, 6, 11}",10.18348186813187,True,"{0, 1, 2, 4, 5, 6, 11}",11.183481868131869,True,"{0, 1, 2, 4, 5, 6, 11}",12.183481868131869,True,"{0, 1, 2, 4, 5, 6, 11}",14.183481868131869,True,"{0, 1, 2, 4, 5, 6, 11}",19.18348186813187,True
4,5,"{0, 1, 2, 3, 4, 5, 11}",9.084329954299076,False,"{0, 1, 2, 3, 4, 5, 11}",10.084329954299076,False,"{0, 1, 2, 3, 4, 5, 11}",11.084329954299074,False,"{0, 1, 2, 3, 4, 5, 11}",12.084329954299076,False,"{0, 1, 2, 3, 4, 5, 11}",14.084329954299076,True,"{0, 1, 2, 3, 4, 5, 11}",19.084329954299076,True
5,6,"{0, 1, 2, 4, 5, 6, 8, 11}",8.773445213296398,False,"{0, 1, 2, 4, 5, 6, 8, 11}",9.773445213296398,False,"{0, 1, 2, 4, 5, 6, 8, 11}",10.773445213296398,False,"{0, 1, 2, 4, 5, 6, 8, 11}",11.773445213296398,False,"{0, 1, 2, 4, 5, 6, 8, 11}",13.773445213296398,False,"{0, 1, 2, 4, 5, 6, 7, 8, 11}",18.88564368975069,False
6,7,"{0, 1, 2, 3, 4, 5, 6, 8, 11}",8.74591465542842,False,"{0, 1, 2, 3, 4, 5, 6, 8, 11}",9.745914655428422,False,"{0, 1, 2, 3, 4, 5, 6, 8, 11}",10.74591465542842,False,"{0, 1, 2, 3, 4, 5, 6, 8, 11}",11.745914655428422,False,"{0, 1, 2, 3, 4, 5, 6, 8, 11}",13.74591465542842,False,"{0, 1, 2, 4, 5, 6, 7, 11}",18.869132418790002,False
7,8,"{0, 1, 4, 5, 6, 11}",8.687825952216066,True,"{0, 1, 4, 5, 6, 11}",9.687825952216066,True,"{0, 1, 4, 5, 6, 11}",10.687825952216066,True,"{0, 1, 4, 5, 6, 11}",11.687825952216068,True,"{0, 1, 4, 5, 6, 11}",13.687825952216066,True,"{0, 1, 2, 4, 5, 6, 8, 11}",18.773445213296394,False
8,9,"{0, 1, 4, 5, 11}",8.4059131122449,True,"{0, 1, 4, 5, 11}",9.405913112244898,True,"{0, 1, 4, 5, 11}",10.405913112244898,True,"{0, 1, 2, 4, 5, 6, 7, 8, 11}",11.443538426592797,False,"{0, 1, 2, 4, 5, 6, 7, 8, 11}",13.569854216066483,False,"{0, 1, 2, 3, 4, 5, 6, 8, 11}",18.745914655428418,False
9,10,"{0, 1, 2, 4, 5, 11}",8.373217619377163,False,"{0, 1, 2, 4, 5, 11}",9.373217619377163,True,"{0, 1, 2, 4, 5, 6, 7, 8, 11}",10.380380531855957,False,"{0, 1, 2, 4, 5, 6, 7, 11}",11.407593957251539,False,"{0, 1, 2, 4, 5, 6, 7, 11}",13.539462089119674,False,"{0, 1, 4, 5, 6, 11}",18.68782595221607,True
10,11,"{0, 1, 2, 4, 5, 6, 7, 8, 11}",8.25406474238227,False,"{0, 1, 2, 4, 5, 6, 7, 8, 11}",9.317222637119114,False,"{0, 1, 2, 4, 5, 11}",10.373217619377161,True,"{0, 1, 4, 5, 11}",11.405913112244898,True,"{0, 1, 4, 5, 11}",13.405913112244898,True,"{0, 1, 2, 3, 4, 5, 6, 7, 11}",18.59080893580922,False
11,12,"{0, 1, 3, 4, 5}",8.247770664062498,True,"{0, 1, 2, 4, 5, 6, 7, 11}",9.27572582538341,False,"{0, 1, 2, 4, 5, 6, 7, 11}",10.341659891317473,False,"{0, 1, 2, 4, 5, 11}",11.373217619377163,True,"{0, 1, 2, 4, 5, 11}",13.373217619377161,True,"{0, 1, 4, 5, 11}",18.4059131122449,True
12,13,"{0, 1, 2, 4, 5, 6, 7, 11}",8.209791759449342,False,"{0, 1, 3, 4, 5}",9.2477706640625,True,"{0, 1, 3, 4, 5}",10.247770664062498,True,"{0, 1, 3, 4, 5}",11.2477706640625,True,"{0, 1, 2, 3, 4, 5, 6, 7, 11}",13.299546799886885,False,"{0, 1, 2, 5, 6, 7, 8, 11}",18.40530602040816,False
13,14,"{0, 1, 2, 3, 5, 6, 11}",8.187713221880907,False,"{0, 1, 2, 3, 5, 6, 11}",9.187713221880907,False,"{0, 1, 2, 3, 5, 6, 11}",10.187713221880907,True,"{0, 1, 2, 3, 5, 6, 11}",11.187713221880909,True,"{0, 1, 3, 4, 5}",13.247770664062498,True,"{0, 1, 2, 4, 5, 11}",18.37321761937716,True
14,15,"{0, 1, 2, 5, 6, 11}",8.146483809375,True,"{0, 1, 2, 5, 6, 11}",9.146483809374999,True,"{0, 1, 2, 5, 6, 11}",10.146483809374999,True,"{0, 1, 2, 3, 4, 5, 6, 7, 11}",11.183041945517953,False,"{0, 1, 2, 3, 5, 6, 11}",13.187713221880909,True,"{0, 1, 2, 4, 5, 6, 7, 8, 9, 11}",18.289946831024935,False
15,16,"{0, 1, 2, 3, 4, 5, 8, 11}",8.066252877168905,False,"{0, 1, 2, 3, 4, 5, 6, 7, 11}",9.066537091149023,False,"{0, 1, 2, 3, 4, 5, 6, 7, 11}",10.124789518333492,False,"{0, 1, 2, 5, 6, 11}",11.146483809375,True,"{0, 1, 2, 5, 6, 11}",13.146483809374999,True,"{0, 1, 3, 4, 5}",18.2477706640625,True
16,17,"{0, 1, 2, 3, 4, 5, 6, 7, 11}",8.008284663964558,False,"{0, 1, 2, 3, 4, 5, 8, 11}",9.066252877168905,False,"{0, 1, 2, 3, 4, 5, 8, 11}",10.066252877168907,False,"{0, 1, 2, 3, 4, 5, 8, 11}",11.066252877168905,False,"{0, 1, 2, 3, 4, 5, 8, 11}",13.066252877168907,False,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 11}",18.239884239671586,False
17,18,"{0, 1, 3, 5, 6, 11}",7.955253956822398,False,"{0, 1, 3, 5, 6, 11}",8.9552539568224,True,"{0, 1, 3, 5, 6, 11}",9.955253956822398,True,"{0, 1, 3, 5, 6, 11}",10.955253956822398,True,"{0, 1, 2, 5, 6, 7, 8, 11}",13.048163163265304,False,"{0, 1, 2, 5, 6, 7, 8, 9, 11}",18.2397056420068,False
18,19,"{0, 1, 3, 4, 5, 6, 8, 11}",7.936346134215501,False,"{0, 1, 3, 4, 5, 6, 8, 11}",8.936346134215501,False,"{0, 1, 3, 4, 5, 6, 8, 11}",9.936346134215501,False,"{0, 1, 3, 4, 5, 6, 8, 11}",10.936346134215501,False,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 11}",12.959510407895886,False,"{0, 1, 2, 5, 6, 7, 11}",18.2254767046875,False
19,20,"{0, 1, 3, 4, 5, 6}",7.9234658923742565,False,"{0, 1, 3, 4, 5, 6}",8.923465892374256,False,"{0, 1, 3, 4, 5, 6}",9.923465892374256,False,"{0, 1, 3, 4, 5, 6}",10.923465892374256,False,"{0, 1, 3, 5, 6, 11}",12.9552539568224,True,"{0, 1, 2, 3, 5, 6, 11}",18.18771322188091,True
20,21,"{0, 1, 3, 5, 11}",7.922720265820273,True,"{0, 1, 3, 5, 11}",8.922720265820274,True,"{0, 1, 3, 5, 11}",9.922720265820274,True,"{0, 1, 3, 5, 11}",10.922720265820274,True,"{0, 1, 3, 4, 5, 6, 8, 11}",12.936346134215498,False,"{0, 1, 2, 5, 6, 11}",18.146483809375,True
21,22,"{0, 3, 4, 5, 11}",7.885857278911565,True,"{0, 3, 4, 5, 11}",8.885857278911566,True,"{0, 3, 4, 5, 11}",9.885857278911566,True,"{0, 1, 2, 5, 6, 7, 8, 11}",10.905306020408162,False,"{0, 1, 3, 4, 5, 6}",12.923465892374255,True,"{0, 1, 2, 3, 4, 5, 8, 11}",18.066252877168907,False
22,23,"{0, 1, 2, 5, 6, 8, 11}",7.878385089285714,False,"{0, 1, 2, 5, 6, 8, 11}",8.878385089285715,False,"{0, 1, 2, 5, 6, 8, 11}",9.878385089285715,False,"{0, 3, 4, 5, 11}",10.885857278911564,True,"{0, 1, 3, 5, 11}",12.922720265820276,True,"{0, 1, 2, 5, 6, 7, 8, 9, 10, 11}",18.044051636940154,False
23,24,"{0, 1, 3, 4, 11}",7.820041119999999,True,"{0, 1, 3, 4, 11}",8.82004112,True,"{0, 1, 2, 5, 6, 7, 8, 11}",9.833877448979592,False,"{0, 1, 2, 5, 6, 8, 11}",10.878385089285715,False,"{0, 3, 4, 5, 11}",12.885857278911566,True,"{0, 1, 2, 4, 5, 6, 7, 8, 10, 11}",17.972949795918364,False
24,25,"{0, 1, 2, 3, 4, 5, 6}",7.765882020390157,False,"{0, 1, 2, 3, 4, 5, 6}",8.765882020390158,False,"{0, 1, 3, 4, 11}",9.82004112,True,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 11}",10.847360875185606,False,"{0, 1, 2, 5, 6, 8, 11}",12.878385089285716,False,"{0, 1, 3, 5, 6, 11}",17.955253956822396,True
25,26,"{0, 1, 2, 4, 5, 8, 11}",7.762678767832343,False,"{0, 1, 2, 4, 5, 8, 11}",8.762678767832345,False,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 11}",9.791286108830464,False,"{0, 1, 3, 4, 11}",10.82004112,True,"{0, 1, 2, 5, 6, 7, 11}",12.8504767046875,False,"{0, 1, 3, 4, 5, 6, 8, 11}",17.9363461342155,False
26,27,"{0, 1, 2, 5, 6, 7, 8, 11}",7.691020306122448,False,"{0, 1, 2, 5, 6, 7, 8, 11}",8.76244887755102,False,"{0, 1, 2, 3, 4, 5, 6}",9.765882020390157,False,"{0, 1, 2, 3, 4, 5, 6}",10.76588202039016,True,"{0, 1, 3, 4, 11}",12.820041119999999,True,"{0, 1, 3, 4, 5, 6}",17.923465892374256,True
27,28,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 11}",7.679136576120182,False,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 11}",8.735211342475322,False,"{0, 1, 2, 4, 5, 8, 11}",9.762678767832345,False,"{0, 1, 2, 4, 5, 8, 11}",10.762678767832343,False,"{0, 1, 2, 3, 4, 5, 6}",12.765882020390157,True,"{0, 1, 3, 5, 11}",17.922720265820274,True
28,29,"{0, 1, 3, 4, 5, 8, 11}",7.663948295024337,False,"{0, 1, 3, 4, 5, 8, 11}",8.663948295024337,False,"{0, 1, 3, 4, 5, 8, 11}",9.663948295024337,False,"{0, 1, 2, 5, 6, 7, 11}",10.7004767046875,False,"{0, 1, 2, 4, 5, 6, 7, 8, 9, 11}",12.763631041551246,False,"{0, 3, 4, 5, 11}",17.885857278911562,True
29,30,"{0, 1, 2, 3, 4, 6, 11}",7.626600546875,False,"{0, 1, 2, 3, 4, 6, 11}",8.626600546875,False,"{0, 1, 2, 3, 4, 6, 11}",9.626600546875,False,"{0, 1, 3, 4, 5, 8, 11}",10.663948295024337,False,"{0, 1, 2, 4, 5, 8, 11}",12.762678767832343,False,"{0, 1, 2, 5, 6, 8, 11}",17.878385089285715,True
