,ranking,f_0_rank_descending,f_1_rank_descending,f_2_rank_descending,f_3_rank_descending,f_5_rank_descending,f_10_rank_descending,f_0_u1_robust,f_0_u2_robust,f_1_u1_robust,f_1_u2_robust,f_2_u1_robust,f_2_u2_robust,f_3_u1_robust,f_3_u2_robust,f_5_u1_robust,f_5_u2_robust,f_10_u1_robust,f_10_u2_robust
0,1,"{0, 3, 4, 5, 7, 8}","{0, 3, 5, 6, 7}","{0, 3, 5, 6, 7}","{0, 4, 5, 6, 7}","{0, 4, 5, 6, 7}","{0, 4, 5, 6, 7}",0.4982519119074662,4.499912947253286e-06,0.12832991078968226,3.480482558898499e-05,0.12823002287285806,3.466958145172994e-05,0.2265697477195719,0.0005970484915157587,0.1811661423377549,0.00019515747204091,0.13258990887391792,4.097815120805847e-05
1,2,"{0, 3, 5, 6, 7}","{0, 4, 5, 6, 7}","{0, 4, 5, 6, 7}","{0, 3, 5, 6, 9}","{0, 3, 5, 6, 9}","{0, 3, 5, 6, 9}",0.1276429496395422,3.3883179592400386e-05,0.28145591641438517,0.0017662489286963733,0.26224103553309425,0.0012402329228758191,0.0016824612904618654,1.3481102306037852e-14,0.009028723807134341,5.999731838593846e-11,0.020383720765382005,3.518984117374543e-09
2,3,"{0, 3, 4, 5, 8}","{0, 3, 5, 6, 9}","{0, 3, 5, 6, 9}","{0, 3, 5, 6, 7}","{0, 3, 5, 6, 7}","{0, 4, 5, 6, 7, 8}",0.1282563908454526,3.47052416891309e-05,0.0,0.0,0.0,0.0,0.11950215983200964,2.4371304341620825e-05,0.10696686867882879,1.4003816548144687e-05,0.2619225414006613,2.4064405532849866e-07
3,4,"{0, 3, 4, 5, 6, 7}","{0, 3, 5, 6, 7, 8}","{0, 3, 5, 6, 7, 8}","{0, 3, 5, 6, 7, 8}","{0, 3, 5, 6, 7, 8}","{0, 3, 5, 6, 7}",1.0,3.707391934650759e-05,0.18802172963768568,1.3561851033340645e-07,0.19211858699025808,1.2517851404091801e-07,0.18600846220652045,7.328934838215525e-08,0.17743295501794193,3.2658714170463696e-08,0.09233247252636427,6.710769582848098e-06
4,5,"{0, 3, 4, 5, 6}","{0, 3, 4, 5, 7, 8}","{0, 3, 5, 6, 8}","{0, 3, 5, 6, 8}","{0, 3, 5, 6, 8}","{0, 3, 5, 6, 7, 8}",0.160261520213872,0.00010571735538940195,0.4870997744190713,4.551096631617947e-06,0.08780724332141486,5.219774172967459e-06,0.08302204015417274,3.944273364856298e-06,0.07648466608769292,2.617410709451454e-06,0.16964762339456538,1.1925233923477056e-08
5,6,"{0, 4, 5, 6, 7, 9}","{0, 3, 4, 5, 8}","{0, 1, 5}","{0, 1, 5}","{0, 4, 5, 6, 7, 8}","{0, 4, 5, 6, 8}",0.239521510129964,0.0,0.13279317254079012,4.129321842521644e-05,0.6004174127157383,0.21645111942580011,0.5870861602931929,0.20235108057178797,0.32845483805204795,2.267429807548347e-06,0.12626268761949058,3.209040123796454e-05
6,7,"{0, 3, 4, 5, 6, 7, 8}","{0, 3, 5, 6, 8}","{0, 3, 4, 5, 7, 8}","{0, 4, 5, 6, 7, 8}","{0, 1, 5}","{0, 1, 6}",1.0,0.0003498801935461384,0.0867273946769776,4.906609564728272e-06,0.477150178697694,4.3451379194574665e-06,0.3877702642889796,1.1534491278795822e-05,0.5681910426325928,0.18343539901324324,0.42413919732724453,0.07630012166494482
7,8,"{0, 3, 5, 6, 7, 8, 9}","{0, 3, 4, 5, 6}","{0, 3, 4, 5, 8}","{0, 3, 4, 7, 8, 9}","{0, 4, 5, 6, 8}","{0, 3, 5, 6, 8}",0.16206972870345826,0.0,0.1631567979448513,0.00011561811037451574,0.13649083881430038,4.737154113287676e-05,0.10354040965083097,2.502975567224328e-11,0.17309627877106962,0.0001553955784726224,0.07011809870240064,1.6949256692531037e-06
8,9,"{0, 3, 5, 6, 7, 8}","{0, 3, 4, 6, 7, 8}","{0, 3, 4, 6, 7, 8}","{0, 3, 4, 8, 9}","{0, 3, 4, 7, 8, 9}","{0, 1, 5}",0.18301759458320785,1.4916829702402998e-07,0.2576357635625048,5.704733767643109e-07,0.2665172604036135,5.882151923788867e-07,0.018363330484323273,2.088128646403988e-09,0.11359972825737462,8.81325470551126e-11,0.5466514262625418,0.16335463314690402
9,10,"{0, 3, 4, 5, 6, 7, 8, 9}","{0, 1, 5}","{0, 4, 5, 6, 7, 8}","{0, 3, 4, 5, 7, 8}","{0, 3, 4, 8, 9}","{0, 3, 4, 7, 8, 9}",1.0,0.0,0.6051175716078638,0.2215742525338259,0.4327615862982359,3.3686915581655084e-05,0.43441879993065624,2.17733954047511e-06,0.023689676116963314,7.460975530457025e-09,0.1258130765912763,2.97100893147081e-10
