Run,Time,Completed,Visited,Terminal,Loops,Branching Factor,Branching @ 0,Branching @ 1,Branching @ 2,A Power,B Power,C Power,A-X Position,A-Y Position,A-Z Position,B-X Position,B-Y Position,B-Z Position,C-X Position,C-Y Position,C-Z Position,Terminal,Depth,Step,Estimated Path Length,Estimated Path Nodes
0,0.00446701049805,True,2,1,0,0.5,1.0,0.0,0.0,0.209801377525,0.438265390388,0.351933232086,0.915494697503,0.789397426262,0.984162711845,-0.154500128558,-0.873346402338,0.564053160459,-0.212526430736,-0.746138800979,0.468330622426,A BC,1,1,2,A B C,A BC
1,0.00388479232788,True,2,1,0,0.5,1.0,0.0,0.0,0.43917860168,0.169918055631,0.390903342688,-0.223351660687,0.190872285106,-0.882464090667,0.389604320414,-0.460505261853,-0.5304389086,0.656982207345,-0.198808722153,0.0260182995055,A BC,1,1,2,A B C,A BC
2,0.00286984443665,True,1,1,0,0.0,0.0,0.0,0.0,0.272231847618,0.592063906492,0.13570424589,0.744291866183,-0.905872455181,-0.779280843464,-0.182337518164,-0.388131539392,-0.575340003098,0.101616302987,0.0988401188841,-0.0807342491225,A B C,0,0,1,A B C
3,0.00286197662354,True,1,1,0,0.0,0.0,0.0,0.0,0.549027249892,0.0945787598565,0.356393990251,0.387584834834,-0.0478905126702,-0.104012114231,-0.626001438798,0.751156382232,-0.18787044202,0.327099287945,-0.220507985761,-0.966687756495,A B C,0,0,1,A B C
4,0.00286889076233,True,1,1,0,0.0,0.0,0.0,0.0,0.0777727329284,0.259172945309,0.663054321763,-0.2996742454,-0.859051620018,0.835260577367,-0.267269259022,0.473809473584,0.514844246805,-0.90102903113,-0.0827615606188,0.811009347052,A B C,0,0,1,A B C
5,0.00287199020386,True,1,1,0,0.0,0.0,0.0,0.0,0.472428425909,0.389470078693,0.138101495399,0.797791496898,0.385928003211,-0.797708840506,0.642083983703,-0.656635837954,-0.252179763634,-0.658908987443,0.966704623452,-0.620967328197,A B C,0,0,1,A B C
6,0.00287508964539,True,1,1,0,0.0,0.0,0.0,0.0,0.409831012608,0.350772173065,0.239396814327,0.671654788023,-0.337628802731,-0.609663757315,0.24831484342,-0.618697756812,0.479671655945,-0.19468356963,0.533425624262,-0.365027856841,A B C,0,0,1,A B C
7,0.00286793708801,True,1,1,0,0.0,0.0,0.0,0.0,0.173427142834,0.672011146666,0.1545617105,-0.475526917687,-0.785069963208,-0.496952069686,0.835866118141,-0.244919863715,0.773255194718,-0.371360341933,0.386828226266,-0.494762109414,A B C,0,0,1,A B C
8,0.00388312339783,True,2,1,0,0.5,1.0,0.0,0.0,0.0989306522357,0.493850074953,0.407219272811,0.943726602176,0.842643870847,0.00964661157979,0.970045783544,0.642425288025,-0.281795503017,0.926107863785,-0.102867819762,0.390169865056,AB C,1,1,2,A B C,AB C
9,0.00412487983704,True,4,1,0,1.25,2.0,1.0,0.0,0.170949208246,0.43217999046,0.396870801294,-0.0419007848019,0.0995678331561,-0.116528797405,0.334480631227,0.321109604008,0.409430392905,0.988372309243,0.541435718643,0.34021022966,A BC,1,1,2,A B C,A BC
10,0.00288486480713,True,1,1,0,0.0,0.0,0.0,0.0,0.374842581662,0.264822446504,0.360334971833,0.477675624586,-0.324055079866,0.865498430795,-0.57884684994,0.440492944526,0.0178109035341,0.920578717581,0.934611398862,-0.591424122418,A B C,0,0,1,A B C
11,0.00289082527161,True,1,1,0,0.0,0.0,0.0,0.0,0.260440031972,0.485356294069,0.254203673959,0.965608654454,0.604602915686,0.560753590224,0.40271336512,0.453413940511,-0.0896304428825,-0.0984576623011,-0.896991576792,-0.293269633868,A B C,0,0,1,A B C
12,0.00390410423279,True,2,1,0,0.5,1.0,0.0,0.0,0.289018785866,0.281773913784,0.42920730035,0.039687762511,-0.588615599208,0.922964718208,0.0860467104989,-0.819976963997,-0.158326936534,0.113322385335,-0.862922115606,-0.446708947082,A BC,1,1,2,A B C,A BC
13,0.00391387939453,True,2,1,0,0.5,1.0,0.0,0.0,0.264587506377,0.343463193689,0.391949299934,-0.64666574432,-0.327168172691,-0.791671085391,-0.0194904492266,-0.707664141011,0.549832910686,0.0265928971405,-0.633125313467,-0.740190655087,AC B,1,1,2,A B C,AC B
14,0.00389289855957,True,2,1,0,0.5,1.0,0.0,0.0,0.0717636277698,0.476499934985,0.451736437246,-0.402677160609,0.278532411138,-0.252144947327,0.375151953045,-0.168244305246,-0.599870408104,0.50550885455,-0.950489010515,-0.571324187192,A BC,1,1,2,A B C,A BC
15,0.0028669834137,True,1,1,0,0.0,0.0,0.0,0.0,0.280014299137,0.120938340317,0.599047360546,0.776291072405,-0.224118041679,0.339260146154,-0.435693457137,0.485195911099,0.772886537227,0.626393117867,0.0645031232748,-0.988318234493,A B C,0,0,1,A B C
16,0.00287890434265,True,1,1,0,0.0,0.0,0.0,0.0,0.192141582135,0.484386850391,0.323471567474,0.129804395516,0.529134797232,0.9759883902,0.0760818478812,0.675416781414,-0.0845482208329,-0.938756509283,0.358623716865,-0.5432210038,A B C,0,0,1,A B C
17,0.00391387939453,True,2,1,0,0.5,1.0,0.0,0.0,0.323044523277,0.40573531738,0.271220159343,-0.516413589683,-0.297594188966,-0.895765800404,-0.194398744826,-0.837822298913,0.948180534029,-0.141737315967,-0.157477941649,-0.965495852097,AC B,1,1,2,A B C,AC B
18,0.00288701057434,True,1,1,0,0.0,0.0,0.0,0.0,0.36466921463,0.0511862647038,0.584144520666,-0.589278440857,0.0606735404216,-0.276086857877,-0.344893940475,-0.95619061677,0.64294090192,0.320895122268,-0.221630475167,-0.261660940098,A B C,0,0,1,A B C
19,0.00285983085632,True,1,1,0,0.0,0.0,0.0,0.0,0.338590646494,0.174615788593,0.486793564913,0.35353050726,-0.322382998106,0.898961458874,-0.465492755425,-0.909536815338,-0.149368303855,0.913628296158,-0.0996161297664,0.276426319042,A B C,0,0,1,A B C
20,0.00394201278687,True,2,1,0,0.5,1.0,0.0,0.0,0.251975678446,0.458998890556,0.289025430999,0.364279735319,0.942189049083,0.215299832008,0.123843292668,0.66103094158,0.0296030666214,-0.0836065552561,-0.986215158456,0.24929356255,AB C,1,1,2,A B C,AB C
21,0.00389409065247,True,2,1,0,0.5,1.0,0.0,0.0,0.266289904114,0.289851511703,0.443858584184,-0.676340143547,0.535650166311,-0.908088769538,-0.818076567718,-0.891628648051,-0.739958058373,0.0536754066924,0.629403134395,-0.962467638439,AC B,1,1,2,A B C,AC B
22,0.0138719081879,True,1,1,0,0.0,0.0,0.0,0.0,0.299261893988,0.299188675154,0.401549430858,0.248630413271,0.476868948819,-0.454458676422,-0.396284858847,0.270480562889,0.417201581671,0.331971449356,-0.497731337082,-0.675723132479,A B C,0,0,1,A B C
23,0.00388097763062,True,2,1,0,0.5,1.0,0.0,0.0,0.420387984866,0.287500575512,0.292111439622,-0.327587386038,0.0282043426068,0.766210967553,0.920489373146,0.0398406347899,0.452379720352,0.985793250251,0.502738150962,0.13901059635,A BC,1,1,2,A B C,A BC
24,0.00388193130493,True,2,1,0,0.5,1.0,0.0,0.0,0.477302487182,0.43738131112,0.0853162016985,-0.75975898448,-0.750090691637,0.652464087132,0.0771911505433,0.286624263923,-0.27950543058,0.00372686603698,0.576249603538,-0.66792859507,A BC,1,1,2,A B C,A BC
25,0.00389814376831,True,2,1,0,0.5,1.0,0.0,0.0,0.0701522241125,0.397784476639,0.532063299248,-0.91639863938,0.846519512439,0.464446874046,0.485850693353,0.719289699474,0.866598087325,0.401101313648,-0.0730819389085,0.649182559151,A BC,1,1,2,A B C,A BC
26,0.00286984443665,True,1,1,0,0.0,0.0,0.0,0.0,0.277327611322,0.5047285698,0.217943818878,0.413860929885,-0.729294306913,-0.570506159669,0.978084678041,0.209852425589,0.751409467096,-0.883335245632,-0.632674669921,0.0344743697023,A B C,0,0,1,A B C
27,0.00390720367432,True,2,1,0,0.5,1.0,0.0,0.0,0.738667817519,0.0908617937287,0.170470388752,0.784132749313,-0.379847934716,-0.973794483675,-0.750688707734,0.470321584589,0.87864132144,-0.307646315203,0.610129852431,0.878525164399,A BC,1,1,2,A B C,A BC
28,0.00286197662354,True,1,1,0,0.0,0.0,0.0,0.0,0.554188567694,0.196190245028,0.249621187278,0.90304505641,0.0733545954055,0.139814682951,0.108636112637,-0.157319589382,0.578192585667,-0.481423053501,0.575012787178,-0.673866796326,A B C,0,0,1,A B C
29,0.004145860672,True,4,0,3,1.25,2.0,1.0,0.0,0.423793452003,0.500000405942,0.0762061420555,0.206821267766,0.285685131423,-0.12390713737,0.890967584919,0.662418186196,0.136756104337,-0.340762925157,0.56885256574,-0.123618162025,,,,Loop
30,0.00286388397217,True,1,1,0,0.0,0.0,0.0,0.0,0.431905037138,0.449708304906,0.118386657956,-0.938557377024,0.116889636749,0.976781570013,0.509770515407,0.887137236199,0.0562057286361,0.988913406321,-0.298523286899,0.712750581956,A B C,0,0,1,A B C
31,0.00288796424866,True,1,1,0,0.0,0.0,0.0,0.0,0.425155701111,0.55227590312,0.0225683957685,-0.724296083435,-0.541861155804,0.0216791413286,0.97225925243,-0.471251932603,-0.939474100081,0.559734903335,-0.993534810459,-0.872357400594,A B C,0,0,1,A B C
32,0.0128991603851,True,1,1,0,0.0,0.0,0.0,0.0,0.160892072521,0.13726954775,0.701838379729,0.938542697988,-0.314933897438,-0.984744077282,-0.46347256758,-0.751295576348,-0.927901008671,-0.143147486434,-0.734927550914,-0.228211271179,A B C,0,0,1,A B C
33,0.0128481388092,True,1,1,0,0.0,0.0,0.0,0.0,0.0906958420032,0.329954415789,0.579349742208,0.418087856861,-0.301566372827,-0.822315950423,0.84861184703,-0.374058846898,0.318013039701,-0.2397613233,0.589955396784,-0.566160456865,A B C,0,0,1,A B C
34,0.0028829574585,True,1,1,0,0.0,0.0,0.0,0.0,0.262566153603,0.221425550731,0.516008295666,-0.491292243133,0.255623243936,-0.883230795953,0.489019939414,-0.201107751299,0.19202178752,0.585550723558,0.623705221291,-0.479086816666,A B C,0,0,1,A B C
35,0.0139908790588,True,2,1,0,0.5,1.0,0.0,0.0,0.600450673245,0.0532178028729,0.346331523882,0.0208648678215,-0.355826707857,0.141759611962,0.359787926095,-0.308929936683,-0.332681345754,-0.937403434929,-0.809862129301,0.426471663801,AB C,1,1,2,A B C,AB C
36,0.00287199020386,True,1,1,0,0.0,0.0,0.0,0.0,0.527876654143,0.206019753198,0.266103592659,-0.949730531734,0.587898260834,0.51663003286,0.419210167052,0.149260163018,0.819955066613,0.17959915277,-0.297502663029,-0.438106989547,A B C,0,0,1,A B C
37,0.00285983085632,True,1,1,0,0.0,0.0,0.0,0.0,0.237168583516,0.222024546525,0.540806869959,-0.919308317821,0.562576446513,-0.628746724913,-0.915232482842,-0.945073361474,0.170379093755,-0.220551031364,0.331457223027,0.394819206392,A B C,0,0,1,A B C
38,0.00286984443665,True,1,1,0,0.0,0.0,0.0,0.0,0.296000795697,0.591430809887,0.112568394416,0.385177815423,-0.284937797744,0.83527189329,0.858916154742,-0.662698595831,-0.363934980404,-0.879714100965,-0.556125173814,0.70788296114,A B C,0,0,1,A B C
39,0.00291800498962,True,1,1,0,0.0,0.0,0.0,0.0,0.37721414817,0.242273124934,0.380512726896,0.192076522696,-0.451201168969,0.77023995403,0.915794394401,0.865683526446,-0.269698124225,0.987666414404,-0.490794552163,-0.38333974162,A B C,0,0,1,A B C
40,0.00392317771912,True,2,1,0,0.5,1.0,0.0,0.0,0.344811723012,0.0804854405583,0.57470283643,0.700645208637,-0.0706817699741,0.45618750023,0.919823809133,-0.458863001778,0.805280173341,0.705773427937,0.955225760159,0.429082503447,AB C,1,1,2,A B C,AB C
41,0.00389504432678,True,2,1,0,0.5,1.0,0.0,0.0,0.33775855187,0.407853184615,0.254388263515,0.911376420037,0.291977431449,0.434839187017,-0.411489506974,-0.0280740950117,-0.382430463838,-0.953346879426,0.298270511429,0.0283820983302,A BC,1,1,2,A B C,A BC
42,0.00388503074646,True,2,1,0,0.5,1.0,0.0,0.0,0.0959279762782,0.520115007396,0.383957016326,0.0836297013619,0.49130667175,-0.067640634308,0.0102135910311,0.99263831846,0.290189410068,-0.0967804046495,-0.380115865782,-0.166403579813,AB C,1,1,2,A B C,AB C
43,0.00295996665955,True,1,1,0,0.0,0.0,0.0,0.0,0.424520130255,0.282512409698,0.292967460047,0.446536368433,-0.428701883003,-0.609982226883,0.771580783349,-0.266371232424,0.670514185595,-0.0435292212748,0.614309124807,-0.698013342171,A B C,0,0,1,A B C
44,0.00287795066833,True,1,1,0,0.0,0.0,0.0,0.0,0.313785568819,0.498437345427,0.187777085755,-0.735176300049,-0.363415438324,-0.341898993252,-0.372525174984,0.62306282125,0.294782569337,0.616094824777,0.621675607513,-0.279345960203,A B C,0,0,1,A B C
